1000  36.552
24.8418  32.7446  16.8763
25.0862  5.39432  7.55183
24.0875  13.9959  19.0148
16.0956  3.35225  21.5615
5.39562  3.52823  35.588
28.4428  3.14278  16.0452
23.3843  1.27363  17.1029
12.4182  17.1179  1.55937
19.1776  10.2485  9.5753
34.2801  5.79122  11.7594
15.8623  9.5274  10.4256
24.9747  30.7396  19.8929
15.3497  18.8918  9.11256
28.1427  5.86621  25.6549
10.9202  12.3887  21.9182
13.1403  13.9336  27.1045
26.8961  22.801  5.26016
8.40129  12.1707  10.5552
11.6893  18.4253  14.1505
5.43563  16.8352  21.9102
10.8944  13.2122  14.1763
19.323  15.6813  16.9549
28.9913  10.8748  21.8008
17.0653  14.3709  35.9988
14.5266  10.3674  26.6628
23.6088  10.526  2.165
18.5474  17.542  33.5608
31.6959  14.7327  6.94286
36.3727  20.3205  35.1576
13.4977  26.6367  4.96753
6.64958  15.6029  6.94568
2.80046  14.4495  13.6934
26.8652  20.374  27.9723
9.41289  29.8157  21.5241
15.1211  16.0388  25.4055
13.6773  11.9886  33.5208
17.8061  11.4679  33.6552
28.1621  11.1227  2.1127
22.1113  33.6663  4.94994
15.3057  15.0079  3.14986
24.4931  30.9324  6.13594
15.6907  28.3711  7.62829
20.5424  16.9534  13.5416
25.4078  28.0966  9.42558
16.0518  19.0552  18.7307
19.7611  25.8071  35.0662
18.9233  17.7296  4.06162
20.2722  31.9206  32.4744
29.0555  18.6846  5.82856
18.3082  25.562  16.0018
18.3381  29.1217  9.55034
3.53138  21.5321  9.89445
27.6501  25.736  23.5359
15.4338  20.1234  25.0562
12.4078  6.88077  25.8811
13.2475  15.0992  30.4324
15.4485  26.2877  30.9223
25.3983  0.400273  6.06062
8.95274  33.2338  10.6267
11.1719  26.8418  14.0604
28.647  34.0369  10.8978
13.8284  26.6104  10.9203
16.1918  31.4293  19.8364
24.4248  19.7556  24.213
22.9692  30.2099  23.15
12.2808  19.7633  34.7195
15.5061  26.6812  25.1312
23.3553  4.11643  32.4206
16.74  1.47844  14.0796
34.0819  24.855  6.31417
9.16159  29.5225  16.9009
19.7601  3.90073  7.46746
14.9065  34.4914  23.6173
3.74743  21.6261  29.7634
18.3047  29.6004  29.5757
26.8253  23.681  30.1303
14.8496  7.77469  4.57665
20.3262  28.6528  26.725
28.183  29.2019  12.0288
27.9127  32.283  18.3455
25.4734  2.0787  13.5922
29.3306  36.4772  26.2498
15.5147  3.90773  16.2094
18.5709  35.1766  22.4262
24.5417  11.1645  23.0705
23.912  5.27581  25.141
33.2786  6.76965  31.9115
33.4189  18.9159  24.8408
24.0014  7.76907  35.5741
9.51381  10.4692  1.62198
22.7431  33.4483  20.9731
13.7666  4.45351  19.3138
21.3223  30.9843  8.28401
9.5733  17.8971  22.1866
23.2763  35.4533  27.2767
21.9603  34.5845  30.9068
12.4823  28.7018  2.13718
22.8388  12.3283  34.1222
25.016  32.4738  28.7841
13.403  26.7583  17.1999
17.5925  28.4159  22.5485
19.8259  5.41126  15.7319
21.1261  7.84769  24.9709
7.44785  8.26098  31.4403
22.9814  9.35625  27.3145
26.3279  9.35828  32.493
19.4485  9.28205  2.76452
27.4624  1.82412  0.6242
21.2422  0.925916  12.5113
22.6537  12.2637  8.75869
13.4937  10.2972  20.6541
29.0503  11.1636  15.6939
30.3645  12.9125  18.7663
36.4021  7.95518  30.6704
18.7896  18.5422  0.456167
20.9076  18.565  24.2193
14.6152  16.9384  12.9267
21.9574  9.20525  15.5356
20.7254  13.5404  20.2916
14.3832  6.38528  10.0914
9.65962  27.0519  4.49424
1.84784  17.0954  24.3379
23.5209  18.7832  14.9592
19.0037  9.55068  18.3981
11.0242  17.1871  27.8467
19.7243  5.12174  35.5426
21.7241  30.0961  3.55946
18.005  14.0797  5.39896
20.998  12.2699  16.9905
17.4728  14.758  14.2714
21.7734  19.3395  5.75208
25.6906  21.7982  15.7128
16.8026  11.9523  20.4343
22.4796  13.3224  25.1329
23.643  15.8997  35.3369
33.3383  17.4841  5.26821
16.9667  25.2236  4.0172
16.2586  11.4107  3.71967
34.3309  25.6288  0.0279723
19.7527  22.5345  9.86934
23.7512  22.4998  28.7872
22.449  25.583  27.1431
17.6126  17.1042  22.3809
27.6127  18.3107  24.2745
20.5001  24.9674  19.7969
22.5929  18.5165  31.452
17.8832  23.1242  1.29702
25.6993  18.4701  0.785695
18.3184  29.8026  5.86029
20.0352  22.0836  5.29418
17.5289  34.5155  17.1032
25.5734  29.4743  15.9221
27.6772  26.7103  27.172
24.2409  16.3198  22.0713
12.0293  26.7183  30.9756
34.2461  33.3124  0.244147
23.3751  23.2745  31.8198
25.8638  4.11486  3.71272
28.7395  26.7681  32.0287
19.5242  31.9756  19.7822
12.8559  32.9372  13.1571
18.3134  31.9293  24.2041
10.6469  31.9769  25.5388
9.81616  26.5471  20.2232
30.0178  32.983  27.196
24.9745  17.1383  26.6658
33.1645  26.6317  3.38397
19.5623  35.7923  2.35815
33.1767  2.58017  6.4351
25.1898  34.6454  3.40669
0.530356  33.51  17.058
27.831  28.5605  19.1379
11.7385  35.6164  25.6204
21.0492  21.2227  13.6013
15.1569  28.5143  28.4465
17.1702  8.10267  7.27141
26.3319  14.0103  25.336
3.76714  32.9277  2.76159
20.0636  14.3832  33.8432
21.6808  30.1795  17.5034
36.277  1.38195  9.35098
32.0596  33.3017  20.0434
4.98801  2.39413  19.1849
18.5399  26.0309  28.6203
29.8105  5.25429  35.5896
0.543034  35.106  2.87137
24.4447  32.9176  32.9781
22.7987  15.0737  15.8619
28.6974  36.3041  4.05448
31.6099  1.07827  15.7175
26.6271  36.2651  16.8193
21.681  6.09053  18.7548
23.3826  34.6486  13.2128
0.531039  28.4969  21.2004
36.5395  34.8647  28.3773
27.3691  15.8862  34.4885
31.4912  19.7881  33.9854
26.8344  12.7504  31.8826
17.2736  6.74876  1.57873
22.4081  33.0928  1.50624
8.16984  13.0695  26.6594
29.4389  5.64825  12.2775
27.533  16.6353  11.7047
18.3173  13.6293  23.4553
24.0256  10.9249  30.1128
31.1089  16.0541  0.0417198
15.9111  29.0925  12.9581
25.3473  30.247  2.85571
21.8412  18.7193  35.226
35.8669  10.9942  4.82671
33.9984  17.3076  8.70216
29.0702  1.34833  12.5282
13.0924  13.0477  0.840546
3.03279  8.12734  18.4142
22.1629  16.7738  28.227
6.46123  13.3687  36.0969
1.03562  23.6608  11.6967
25.94  20.4778  32.1575
33.9626  21.0174  31.2809
12.5194  21.3457  8.20519
24.4594  5.87905  11.635
21.7496  13.6825  4.11103
34.2633  14.4308  31.1875
11.6223  8.42942  32.5421
33.7224  30.6529  32.6874
34.5031  24.8185  29.6775
30.0698  16.7201  32.8516
16.2128  23.7905  10.9919
22.2567  27.3604  0.745441
26.1225  25.2393  15.5622
22.8625  26.5138  17.2761
30.1072  7.0695  28.728
30.5127  19.6999  26.3894
30.6717  19.489  22.4945
6.33899  24.8466  29.3204
11.0238  24.7033  7.99111
32.4334  25.9248  32.7471
18.3325  26.8955  1.48054
26.0496  22.2949  1.75295
24.1098  22.0887  34.9429
34.8245  25.6447  22.3792
